index,win,baronFirst,baronKills,championFirst,championKills,dragonFirst,hordeFirst,inhibitorFirst,inhibitorKills,riftHeraldFirst,riftHeraldKills,towerFirst,towerKills,dragonKills_0,dragonKills_1,dragonKills_2,dragonKills_3,dragonKills_4,dragonKills_5,dragonKills_6,hordeKills_0,hordeKills_1,hordeKills_2,hordeKills_3,hordeKills_4,hordeKills_5,hordeKills_6
NA1_4925802650,False,False,0,True,38,False,True,False,0,False,0,True,6,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4925800006,False,False,0,False,4,False,True,False,0,False,0,False,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False
NA1_4925790986,False,False,0,False,7,True,False,False,0,False,0,False,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4922923579,False,False,0,False,20,True,False,True,3,True,1,True,9,False,False,True,False,False,False,False,False,True,False,False,False,False,False
NA1_4922911590,False,False,0,True,24,True,True,True,2,False,0,True,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False
NA1_4921296232,False,False,0,False,37,True,False,False,0,True,1,False,5,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4921249510,False,False,0,False,17,False,True,False,0,False,0,False,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4921234581,True,True,1,False,29,False,True,True,3,True,1,False,11,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NA1_4920557460,False,False,0,False,28,True,True,True,1,True,1,False,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4920399542,False,False,0,False,21,False,False,False,0,False,0,True,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False
NA1_4920375527,True,True,2,False,61,False,True,True,7,False,0,True,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True
NA1_4920357118,True,True,1,False,44,False,False,True,2,False,0,False,9,False,False,False,True,False,False,False,True,False,False,False,False,False,False
NA1_4920347605,True,False,0,False,0,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4920342136,True,False,0,True,31,False,False,True,2,False,0,True,10,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4920329932,True,True,1,True,42,False,True,True,2,True,1,True,9,False,False,True,False,False,False,False,False,False,False,False,True,False,False
NA1_4920306583,True,False,0,True,26,False,True,False,0,False,0,True,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False
NA1_4920298161,False,False,0,False,14,False,False,False,0,False,0,False,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4919995118,True,True,1,False,33,False,True,True,3,False,0,True,9,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4919929217,False,False,1,True,44,True,False,False,2,False,0,False,9,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4941513576,False,False,0,False,24,False,False,False,0,False,0,False,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4938559874,False,False,0,False,10,False,True,False,0,False,0,False,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
NA1_4938202180,False,True,1,True,36,False,True,False,0,False,0,False,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4938182592,True,False,0,False,54,False,True,True,2,False,0,True,10,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4938164487,True,True,1,False,53,False,True,True,1,False,0,True,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4937508244,True,False,0,True,53,True,True,True,2,False,0,True,8,False,False,False,False,False,True,False,False,False,False,False,False,False,True
NA1_4937477861,False,False,0,True,31,False,False,False,0,False,0,False,3,True,False,False,False,False,False,False,False,False,False,False,True,False,False
NA1_4936459181,True,True,1,True,50,True,False,True,2,False,0,False,9,False,False,False,False,True,False,False,False,True,False,False,False,False,False
NA1_4935979672,False,False,0,False,22,False,False,False,0,False,0,False,2,False,True,False,False,False,False,False,False,False,True,False,False,False,False
NA1_4935958832,True,False,0,True,17,True,False,False,0,False,0,True,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4935861059,False,False,0,True,17,False,True,False,0,False,0,True,2,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4935835473,False,False,0,False,7,True,True,False,0,True,1,False,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False
NA1_4935142025,True,False,1,False,47,True,False,True,2,True,1,False,9,False,False,False,False,True,False,False,True,False,False,False,False,False,False
NA1_4934931103,True,True,1,True,29,False,False,True,1,True,1,False,10,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4934255923,False,False,0,False,2,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4934223232,False,False,0,False,18,False,True,False,0,False,0,False,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4934101644,True,True,1,False,31,False,True,True,2,True,1,True,10,False,False,True,False,False,False,False,False,False,False,False,True,False,False
NA1_4934083515,False,False,0,False,1,False,True,False,0,False,0,False,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4933582279,True,True,1,True,33,True,False,True,1,False,0,True,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4933543106,False,False,0,False,16,False,True,False,0,False,0,True,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4933497290,False,True,2,True,44,False,True,False,0,False,0,False,6,False,True,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4933402883,False,False,0,True,28,False,True,False,0,True,1,True,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4933382224,True,False,0,True,19,True,False,False,0,True,1,True,3,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NA1_4933067680,True,False,0,True,17,False,True,False,0,True,1,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4932644632,False,False,0,True,65,False,False,False,0,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4932600124,False,False,0,True,32,False,False,True,1,True,1,True,6,False,True,False,False,False,False,False,False,False,True,False,False,False,False
NA1_4932553028,False,False,0,True,19,True,False,False,0,True,1,False,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4932521454,False,False,0,False,16,True,False,False,0,False,0,False,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4932437794,True,True,2,True,32,True,True,True,4,False,0,False,11,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4931820130,True,True,1,False,39,False,True,True,1,True,1,True,8,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4931776055,False,False,0,True,22,False,True,False,0,True,1,True,2,True,False,False,False,False,False,False,False,False,False,False,True,False,False
NA1_4930564422,False,False,0,False,42,True,True,False,0,True,1,True,6,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4930551121,True,False,0,False,28,False,False,True,1,False,0,True,4,True,False,False,False,False,False,False,True,False,False,False,False,False,False
